"","CONCEPT_CD","n"
"1","PRO:ADV0039",160826
"2","SDH:ADV0040   ",8786
"3","SDH:ADV0041   ",8763
"4","SDH:ADV0042   ",28309
"5","SDH:ADV0043   ",19306
"6","SDH:ADV0044   ",26683
"7","SDH:ADV0045   ",10652
"8","SDH:ADV0046   ",10645
"9","SDH:ADV0047   ",10521
"10","SDH:ADV0048   ",10623
"11","SDH:ADV0049   ",10477
"12","SDH:ADV0050   ",10377
"13","SDH:ADV0051   ",10636
"14","SDH:ADV0052   ",9867
"15","SDH:ADV0053   ",10192
"16","SDH:ADV0054   ",8012
"17","SDH:ADV0055   ",33
"18","SDH:ADV0056   ",165
"19","SDH:ADV0057   ",17933
"20","SDH:ADV0058   ",6323
"21","SDH:ADV0059   ",6012
"22","SDH:ADV0060   ",7243
"23","SDH:ADV0061   ",6927
"24","SDH:ADV0062   ",6904
"25","SDH:ADV0063   ",6847
"26","SDH:ADV0064   ",21979
"27","SDH:ADV0065   ",31494
"28","SDH:ADV0066   ",2798
"29","SDH:ADV0067   ",28343
"30","SDH:ADV0068   ",44301
"31","SDH:ADV0069   ",4029
"32","SDH:ADV0070   ",3984
"33","SDH:ADV0071   ",2811
"34","SDH:ADV0072   ",36219
"35","SDH:ADV0073   ",35971
"36","SDH:ADV0074   ",3831
"37","SDH:ADV0075   ",3779
"38","SDH:ADV0076   ",2059
"39","SDH:ADV0077   ",2864
"40","SDH:ADV0078   ",2771
"41","SDH:ADV0079   ",2767
"42","SDH:ADV0080   ",2754
"43","SDH:ADV0081   ",2755
"44","SDH:ADV0082   ",2732
"45","SDH:ADV0083   ",22302
"46","SDH:ADV0084   ",22008
"47","SDH:ADV0085   ",19572
"48","SDH:ADV0086   ",2640
"49","SDH:ADV0087   ",36377
"50","SDH:ADV0088   ",41595
"51","SDH:ADV0089   ",4478
"52","SDH:ADV0090   ",15
"53","SDH:ADV0091   ",14
"54","SDH:ADV0092   ",15
"55","SDH:ADV0093   ",10
"56","SDH:ADV0094   ",11
"57","SDH:ADV0095   ",13
"58","SDH:ADV0096   ",4843
"59","SDH:ADV0097   ",37271
"60","SDH:ADV0098   ",21953
"61","SDH:ADV0099   ",20579
"62","SDH:ADV0100   ",18462
"63","SDH:ADV0101   ",35938
"64","SDH:ADV0102   ",35907
"65","SDH:ADV0103   ",35875
"66","SDH:ADV0104   ",35824
"67","SDH:ADV0106   ",35551
"68","SDH:ADV0107   ",16489
"69","SDH:ADV0108   ",5016
"70","SDH:ADV0109   ",6637
"71","SDH:ADV0110   ",8981
"72","SDH:ADV0111   ",9029
"73","SDH:ADV0112   ",8991
"74","SDH:ADV0113   ",8965
"75","SDH:ADV0114   ",8955
"76","SDH:ADV0115   ",8911
"77","SDH:ADV0116   ",3204
"78","SDH:ADV0117   ",3225
"79","SDH:ADV0118   ",3220
"80","SDH:ADV0120   ",107
"81","SDH:ADV0121   ",110
"82","SDH:ADV0122   ",93
"83","SDH:ADV0123   ",30
"84","SDH:ADV0124   ",30
"85","SDH:ADV0125   ",30
"86","SDH:ADV0237   ",1
"87","SDH:ADV0238   ",1
"88","SDH:ADV0242   ",1
"89","SDH:ADV0245   ",1
"90","SDH:ADV0246   ",1108
"91","SDH:ADV0247   ",2998
"92","SDH:ADV0248   ",2993
"93","SDH:ADV0249   ",2996
"94","SDH:ADV0250   ",10439
"95","SDH:ADV0260   ",43
"96","SDH:ADV0261   ",48
"97","SDH:ADV0262   ",49
"98","SDH:ADV0263   ",8
"99","SDH:ADV0264   ",373
